Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
1034,"0,009848","0,047314","71,316858","0,076274",81,"204,752897","0,880455"
1035,"0,006298","0,034165","85,41715","0,057946",76,"183,826216","1,12391"
1036,"0,009595","0,036935","84,067866","0,060823",76,"191,421188","1,106156"
1037,"0,008529","0,036056","77,556243","0,046952",76,"169,093381","1,020477"
1038,"0,008663","0,038125","69,988824","0,038936",75,"155,712998","0,933184"
1039,"0,006079","0,052547","62,353177","0,038868",75,"159,847189","0,831376"
1040,"0,009948","0,045985","64,145939","0,047221",75,"167,30049","0,855279"
1041,"0,008842","0,048768","70,55586","0,044489",76,"172,654519","0,928367"
1042,"0,007376","0,084473","62,264308","0,041552",76,"195,66537","0,819267"
1043,"0,009226","0,0585","74,02989","0,039824",77,"181,579991","0,961427"
1044,"0,005802","0,086063","67,666979","0,04938",79,"208,911794","0,856544"
1045,"0,007069","0,055148","78,715053","0,057084",81,"198,01579","0,971791"
1046,"0,006967","0,080704","78,207219","0,046296",77,"212,175252","1,015678"
1047,"0,009624","0,070064","76,217231","0,055975",77,"211,879908","0,989834"
1048,"0,009804","0,06269","66,302046","0,036648",77,"175,443682","0,861066"
1049,"0,008759","0,050159","64,15013","0,080863",78,"203,932118","0,822438"
1050,"0,007508","0,04884","82,652114","0,063524",77,"202,523728","1,073404"
1051,"0,007494","0,040717","77,040153","0,044552",78,"169,803622","0,987694"
1052,"0,007797","0,061627","65,775267","0,037636",75,"172,834431","0,877004"
1053,"0,010855","0,045785","54,849151","0,05496",77,"166,448414","0,712327"
1054,"0,005514","0,053907","63,500434","0,041484",75,"164,405336","0,846672"
1055,"0,00956","0,058712","53,494396","0,038055",74,"159,821587","0,722897"
1056,"0,007944","0,067064","56,047195","0,036355",73,"167,410319","0,76777"
1057,"0,006288","0,066107","54,851935","0,035549",73,"162,795046","0,751396"
1058,"0,015194","0,058356","53,742888","0,034703",72,"161,995613","0,746429"
1059,"0,011103","0,053044","58,32587","0,038222",73,"160,695133","0,798985"
1060,"0,008296","0,054747","56,075965","0,032106",78,"151,224706","0,718923"
1061,"0,00686","0,074856","55,893972","0,039443",78,"177,053939","0,716589"
1062,"0,008168","0,067925","55,133326","0,038749",77,"169,976335","0,716017"
