Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
208,"0,005343","0,018639","0,004553","0,008019",2,0,0,0,"3,340006","5,905628","4,802942"
209,"0,008438","0,031258","0,004973","0,006754",2,0,0,0,"2,72584","8,806705","12,465239"
210,"0,005495","0,027408","0,004373","0,009548",2,0,0,0,"2,37298","8,513212","9,077787"
211,"0,005398","0,024796","0,004919","0,006067",2,0,0,0,"3,642797","8,327961","6,192207"
212,"0,005604","0,022249","0,004422","0,005398",2,0,0,0,"2,296209","7,780313","4,266977"
213,"0,005381","0,022283","0,005919","0,007355",2,0,0,0,"3,107071","6,880522","4,752874"
214,"0,005628","0,024536","0,00522","0,00779",2,0,0,0,"3,487587","6,865501","6,909609"
215,"0,005546","0,025566","0,005422","0,00614",3,0,0,0,"2,347231","8,500814","6,519318"
216,"0,005422","0,021559","0,005041","0,007904",3,0,0,0,"2,412558","6,610632","6,788015"
217,"0,00545","0,027882","0,005024","0,006854",3,0,0,0,"3,670931","9,906054","6,098509"
218,"0,00809","0,025805","0,006451","0,006653",4,0,0,0,"3,001451","9,56893","5,283594"
219,"0,008691","0,021516","0,006627","0,006129",4,0,0,0,"2,559185","8,684635","4,736185"
220,"0,005396","0,017202","0,005809","0,007623",5,0,0,0,"2,566338","6,090879","3,869772"
221,"0,005452","0,018647","0,005022","0,00634",5,0,0,0,"2,228975","6,125212","5,301476"
222,"0,005479","0,018486","0,004924","0,00969",5,0,0,0,"1,967669","5,888939","4,718781"
223,"0,006486","0,024469","0,004473","0,0085",5,0,0,0,"2,96092","6,763458","6,667376"
224,"0,005648","0,021354","0,005361","0,007868",5,0,0,0,"3,045321","7,317781","4,974842"
225,"0,005393","0,022224","0,00819","0,007422",5,0,0,0,"2,676487","6,485224","5,084276"
226,"0,006525","0,022146","0,004744","0,009412",5,0,0,0,"2,366781","7,839203","5,091667"
227,"0,005379","0,01926","0,009664","0,007207",4,0,0,0,"2,294779","5,92947","3,943682"
228,"0,006501","0,020794","0,004656","0,007367",4,0,0,0,"2,612114","6,226063","5,050898"
229,"0,005537","0,027764","0,004427","0,008871",4,0,0,0,"2,702236","9,167671","9,958029"
230,"0,006642","0,021201","0,00558","0,009675",4,0,0,0,"2,926826","7,164001","4,273415"
231,"0,005469","0,025513","0,004254","0,009572",4,0,0,0,"5,694389","7,200718","5,050182"
232,"0,005362","0,019426","0,004892","0,008479",4,0,0,0,"3,186464","7,163048","3,83234"
233,"0,005397","0,018456","0,004171","0,008792",4,0,0,0,"2,81024","6,901741","3,872871"
234,"0,005399","0,01725","0,0049","0,00877",4,0,0,0,"1,986504","5,919933","4,516602"
235,"0,005984","0,017331","0,003956","0,010114",4,0,0,0,"2,138138","5,855799","4,522085"
236,"0,005853","0,017591","0,005531","0,009415",4,0,0,0,"2,616167","5,892277","4,467249"
237,"0,005359","0,019607","0,004168","0,007401",4,0,0,0,"2,145052","5,873442","4,009485"
238,"0,007387","0,017795","0,004516","0,008275",4,0,0,0,"2,100706","6,057501","4,928827"
239,"0,005544","0,017637","0,003802","0,009701",4,0,0,0,"2,827168","5,861998","4,291296"
240,"0,005436","0,016588","0,003943","0,008416",4,0,0,0,"2,09856","5,785465","3,811836"
241,"0,005356","0,01711","0,004542","0,010459",4,0,0,0,"2,246141","5,809546","4,070997"
242,"0,005378","0,024158","0,004856","0,008836",4,0,0,0,"6,547689","5,817175","4,878044"
243,"0,005807","0,025134","0,004956","0,009605",4,0,0,0,"3,02887","8,267164","5,847692"
244,"0,005393","0,020417","0,003982","0,007524",4,0,0,0,"3,30162","5,914927","5,455732"
245,"0,005301","0,020035","0,004789","0,008123",4,0,0,0,"2,071381","9,075403","4,158974"
246,"0,005362","0,018834","0,003966","0,006635",4,0,0,0,"3,449917","5,939484","3,764868"
247,"0,005497","0,020776","0,004288","0,007306",4,0,0,0,"2,345324","9,805679","4,050255"
248,"0,008376","0,015785","0,00353","0,006683",4,0,0,0,"2,190113","5,737066","3,546476"
249,"0,006225","0,015585","0,004285","0,010696",4,0,0,0,"1,949072","5,740643","3,618717"
250,"0,005343","0,017321","0,003677","0,005954",4,0,0,0,"2,072811","5,739927","3,651381"
251,"0,005334","0,016514","0,003487","0,007586",4,0,0,0,"1,997709","5,767107","4,070997"
252,"0,005414","0,018285","0,005075","0,006859",4,0,0,0,"3,3319","6,398678","3,800392"
253,"0,006339","0,016538","0,005283","0,006602",3,0,0,0,"1,955748","5,759716","4,096746"
254,"0,006609","0,018723","0,005665","0,005909",4,0,0,0,"1,979113","5,797148","5,247593"
255,"0,005303","0,017541","0,003937","0,00764",4,0,0,0,"2,034903","5,795479","4,846334"
256,"0,008489","0,02065","0,00558","0,006277",4,0,0,0,"1,980782","7,021427","5,092621"
257,"0,005469","0,017798","0,005078","0,007737",4,0,0,0,"1,921654","5,892038","4,831314"
258,"0,00543","0,018445","0,005128","0,008156",5,0,0,0,"1,983643","5,842924","3,931999"
259,"0,005423","0,02035","0,004412","0,009158",5,0,0,0,"2,662659","5,88131","5,831957"
260,"0,005382","0,018408","0,006209","0,006457",6,0,0,0,"2,015829","5,783319","5,225897"
261,"0,005496","0,020163","0,004813","0,007059",5,0,0,0,"2,172947","5,788803","5,319357"
262,"0,006031","0,017874","0,005283","0,006261",6,0,0,0,"2,005816","5,877495","4,621029"
263,"0,00635","0,017709","0,004103","0,006347",6,0,0,0,"2,264977","5,896568","4,944563"
264,"0,006484","0,017825","0,004616","0,007449",5,0,0,0,"2,02775","5,792856","5,150795"
265,"0,007826","0,020743","0,00681","0,012896",6,0,0,0,"2,001047","7,127762","4,943609"
