Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,Frames Per Second
123,"0,005426","0,018332","0,006030","0,010495",10,"40,282183","0,602992","2,646208","6,212950","3,668547",
123,"0,005426","0,018332","0,006030","0,010495",10,"40,282183","0,602992","2,646208","6,212950","3,668547",
124,"0,006259","0,019296","0,005267","0,010376",10,"41,197401","0,526674","2,585649","5,640030","3,811359",
124,"0,006259","0,019296","0,005267","0,010376",10,"41,197401","0,526674","2,585649","5,640030","3,811359",
125,"0,005361","0,020023","0,006729","0,010075",10,"42,187730","0,672883","2,007246","8,596420","3,757715",
125,"0,005361","0,020023","0,006729","0,010075",10,"42,187730","0,672883","2,007246","8,596420","3,757715",
126,"0,006713","0,020758","0,005380","0,012778",10,"45,628840","0,537972","2,786160","5,883217","3,816366",
126,"0,006713","0,020758","0,005380","0,012778",10,"45,628840","0,537972","2,786160","5,883217","3,816366",
127,"0,005367","0,017996","0,006624","0,010672",10,"40,658730","0,662415","2,172709","6,074190","3,854036",
127,"0,005367","0,017996","0,006624","0,010672",10,"40,658730","0,662415","2,172709","6,074190","3,854036",
128,"0,005596","0,018301","0,005795","0,014019",9,"43,709789","0,643862","2,223730","6,468058","3,597736",
