Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
319,"0,005828","0,029776","17,928457","0,015509",17,"69,041705","1,054615"
320,"0,005826","0,027497","16,850775","0,010885",16,"61,059411","1,053173"
321,"0,006050","0,024216","17,656861","0,010354",16,"58,277232","1,103554"
322,"0,006005","0,025346","16,053234","0,011364",15,"58,767592","1,070216"
323,"0,005389","0,023556","16,034321","0,010719",15,"55,699032","1,068955"
324,"0,006857","0,025633","16,307486","0,010834",17,"59,632016","0,959264"
325,"0,005233","0,022904","17,197191","0,010979",16,"56,314163","1,074824"
326,"0,008073","0,024742","16,016272","0,011419",15,"60,249933","1,067751"
327,"0,005828","0,024497","15,865161","0,011888",15,"58,077127","1,057677"
328,"0,008522","0,024796","16,686351","0,015163",15,"65,167988","1,112423"
329,"0,010120","0,024075","16,832822","0,010099",17,"61,127798","0,990166"
330,"0,006792","0,024552","17,887271","0,010505",18,"59,737012","0,993737"
331,"0,005503","0,025896","15,880009","0,009578",17,"56,856942","0,934118"
332,"0,005621","0,023688","14,117303","0,009759",16,"53,185794","0,882331"
333,"0,006121","0,022299","17,797283","0,011114",15,"57,330212","1,186486"
334,"0,006212","0,024885","15,040706","0,009904",15,"56,042055","1,002714"
335,"0,005893","0,023198","17,781315","0,012240",16,"59,112087","1,111332"
336,"0,006166","0,027926","22,638215","0,008748",18,"65,477475","1,257679"
337,"0,006923","0,031587","18,927320","0,010714",18,"68,150815","1,051518"
338,"0,006914","0,029051","16,311293","0,010411",17,"62,687231","0,959488"
339,"0,006249","0,024505","17,448532","0,010360",18,"58,562334","0,969363"
340,"0,005366","0,026243","17,877128","0,011171",17,"60,657537","1,051596"
341,"0,005762","0,025125","23,266820","0,012414",17,"66,566579","1,368636"
342,"0,008126","0,029356","15,895019","0,012666",18,"66,043805","0,883057"
343,"0,005686","0,028628","33,423233","0,016723",18,"84,459933","1,856846"
344,"0,007374","0,034476","21,927974","0,012768",19,"76,546603","1,154104"
345,"0,007050","0,030712","15,065059","0,011749",17,"64,576503","0,886180"
346,"0,007502","0,025710","18,694894","0,010980",17,"62,887337","1,099700"
347,"0,008835","0,026863","17,951786","0,010389",16,"64,038014","1,121987"
348,"0,005476","0,024754","18,058832","0,009451",15,"57,740983","1,203922"
349,"0,005889","0,025421","14,500905","0,009750",14,"55,561105","1,035779"
350,"0,008062","0,021863","16,175927","0,009771",14,"55,872094","1,155423"
351,"0,007160","0,027788","15,751011","0,010107",15,"60,806183","1,050067"
352,"0,005402","0,022467","17,762786","0,009719",15,"55,350470","1,184186"
353,"0,010549","0,024292","15,121638","0,009812",15,"59,773911","1,008109"
354,"0,006557","0,022609","15,195465","0,010469",15,"54,830254","1,013031"
355,"0,005366","0,025028","15,405043","0,009735",16,"55,533807","0,962815"
356,"0,007340","0,022705","19,362221","0,009712",17,"59,118615","1,138954"
357,"0,006781","0,027385","14,920124","0,010302",18,"59,388421","0,828896"
358,"0,005489","0,023420","16,721233","0,010592",17,"56,221744","0,983602"
359,"0,006813","0,024467","15,987758","0,012041",16,"59,309056","0,999235"
360,"0,005376","0,023118","17,611579","0,010779",17,"56,883695","1,035975"
361,"0,006246","0,024603","18,326813","0,011535",17,"60,710946","1,078048"
362,"0,005396","0,025097","18,065968","0,012530",17,"61,089108","1,062704"
363,"0,005440","0,024093","19,002460","0,012118",17,"60,653569","1,117792"
364,"0,007186","0,028678","18,322109","0,012737",16,"66,922278","1,145132"
